categoría,nombre del plato,descripción,precio,URL de imagen
Especialidad de la Casa,Don Mega,"Combinación especial preparada con una presa de pollo a elección entre encuentro o ala, hot dog, chorizo sabroso y huevo frito.",S/.20.00,/don-mega.webp
Especialidad de la Casa,Mostrito,"Combinación potente de arroz chaufa oriental preparado en wok, abundante porción de papas fritas y jugosa presa broaster crocante.",S/.18.00,/mostrito.webp
Food - Broaster & Papas,Pecho,"Jugosa presa de pecho de pollo empanizada y frita al crujiente estilo broaster. ¡Incluye chaufa gratis hasta agotar stock!",S/.16.00,/pecho.webp
Food - Broaster & Papas,Encuentro,"Presa de encuentro de pollo tradicional, súper jugosa por dentro y extra crocante por fuera. ¡Incluye chaufa gratis hasta agotar stock!",S/.14.00,/encuentro.webp
Food - Broaster & Papas,Alota,"Pieza de pollo seleccionada «Alota» estilo broaster dorado crocante. ¡Incluye chaufa gratis hasta agotar stock!",S/.13.50,/alota.webp
Food - Broaster & Papas,Salchipapa Especial,"Generosa porción de papas fritas crocantes acompañadas con salchicha dorada, abundante chorizo parrillero y huevo frito montado.",S/.15.00,/salchipapa-especial.webp
Food - Broaster & Papas,Salchipapa,"Combinación icónica de papas fritas amarillas crujientes con abundantes rodajas de salchicha dorada.",S/.11.00,/salchipapa.webp
Adicionales,Presa de pollo,Presa adicional de pollo frito a elección entre encuentro o ala.,S/.11.00,/presa-de-pollo.webp
Adicionales,Porción de papa,Porción generosa de papas fritas crujientes doradas al momento.,S/.9.00,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?auto=format&fit=crop&w=800&q=80
Adicionales,Tocino,Porción de tocino crocante frito al momento.,S/.4.00,/tocino.webp
Adicionales,Chorizo,Porción adicional de chorizo parrillero dorado.,S/.3.00,/chorizo.webp
Adicionales,Plátano,Porción adicional de plátano frito doradito.,S/.3.00,/platano.webp
Adicionales,Hot dog,Porción adicional de frankfurter frito.,S/.2.00,/hot-dog.webp
Adicionales,Huevo,Unidad adicional de huevo frito con yema montada.,S/.2.00,https://images.unsplash.com/photo-1525351484163-7529414344d8?auto=format&fit=crop&w=800&q=80
